Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
22761,0.52,Ideal,G,IF,61.5,56.0,5.21,5.16,3.19,2164
13970,0.4,Premium,I,VVS1,59.5,59.0,4.79,4.76,2.84,1080
9254,1.19,Good,H,VS1,60.8,61.0,6.86,6.88,4.18,7152
6724,1.0,Premium,G,VS2,62.1,58.0,6.43,6.39,3.98,5242
20625,1.51,Premium,G,VS1,60.1,58.0,7.48,7.45,4.49,14507
1674,1.34,Premium,H,SI2,61.6,60.0,7.05,6.97,4.32,4502
836,0.24,Good,F,VS1,60.8,64.0,3.96,4.0,2.42,373
22876,0.41,Ideal,F,VVS2,61.9,55.0,4.74,4.79,2.95,1115
22709,0.86,Ideal,E,SI2,60.0,56.0,6.22,6.24,3.74,3478
4185,2.24,Premium,H,SI2,61.8,58.0,8.41,8.34,5.18,10913
19860,0.76,Ideal,I,SI1,61.8,57.0,5.89,5.83,3.62,2399
14098,1.48,Good,G,IF,59.8,61.0,7.54,7.34,4.45,15164
13768,1.05,Premium,G,VS2,61.9,59.0,6.56,6.52,4.05,5821
8273,0.43,Ideal,G,VVS1,61.5,56.0,4.85,4.87,2.99,1207
7503,0.7,Ideal,F,SI1,61.2,55.0,5.74,5.76,3.52,3119
6362,0.4,Ideal,I,VS2,61.8,56.0,4.73,4.79,2.94,639
20808,1.51,Good,I,VS1,65.8,57.0,7.09,7.17,4.69,8210
17838,1.07,Very Good,H,VS1,62.5,56.0,6.52,6.6,4.1,5661
10134,1.08,Ideal,G,SI2,62.7,54.0,6.63,6.57,4.14,3825
23444,1.0,Good,E,SI1,57.6,65.0,6.47,6.44,3.72,3696
22972,0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,2856
20346,2.03,Very Good,E,SI2,,58.0,7.91,7.94,5.05,16412
24388,2.01,Premium,I,SI2,62.5,60.0,8.04,7.95,5.0,9658
19547,0.84,Premium,E,VS1,59.7,59.0,6.16,6.13,3.67,4318
26332,1.5,Premium,H,I1,61.1,59.0,7.37,7.26,4.47,3599
23358,0.56,Ideal,G,VVS2,60.7,56.0,5.33,5.32,3.23,2167
14483,0.3,Ideal,H,VS2,61.9,55.0,4.28,4.31,2.66,496
12114,1.52,Ideal,G,VS2,61.4,56.0,7.39,7.47,4.56,14692
20844,1.05,Ideal,G,VS1,61.2,57.0,6.51,6.55,4.0,8022
2274,0.7,Very Good,F,SI1,61.5,60.0,5.65,5.7,3.49,2553
22960,0.9,Good,H,SI2,60.4,61.0,6.14,6.22,3.73,3114
15403,0.92,Premium,E,SI1,62.2,58.0,6.23,6.18,3.86,4482
18812,0.41,Very Good,F,VVS1,63.3,55.0,4.7,4.74,2.99,1143
6892,1.01,Premium,E,SI1,62.4,60.0,6.35,6.32,3.95,5002
10995,0.34,Ideal,H,VS1,62.1,57.0,4.51,4.48,2.79,765
8536,1.5,Premium,F,VS1,62.6,58.0,7.31,7.26,4.56,14918
1726,0.39,Very Good,G,SI1,62.5,55.0,4.68,4.7,2.93,694
15833,1.01,Premium,G,VS2,61.6,60.0,6.51,6.42,3.98,6108
4757,0.35,Premium,J,VS1,62.4,58.0,5.67,5.64,3.53,949
854,1.49,Fair,F,SI1,59.6,63.0,7.2,7.34,4.33,8779
26542,0.31,Ideal,G,IF,61.0,56.0,4.38,4.37,2.67,988
19641,0.32,Ideal,E,IF,61.2,57.0,4.4,4.43,2.7,1300
1708,1.02,Ideal,F,SI2,62.1,56.0,6.44,6.41,3.99,4238
11690,1.13,Ideal,E,SI1,62.2,55.0,6.69,6.66,4.15,6682
9431,1.0,Very Good,E,VVS2,61.9,61.0,6.38,6.42,3.96,7777
23259,0.32,Ideal,H,VS1,62.8,55.0,4.41,4.35,2.75,720
17137,0.85,Ideal,I,SI1,61.4,56.0,6.06,6.12,3.74,3392
16156,0.61,Ideal,F,VS2,62.4,55.0,5.42,5.45,3.39,2002
16455,0.64,Good,J,SI2,64.7,54.0,5.39,5.43,3.5,1141
4568,1.34,Premium,G,VS2,60.7,59.0,7.07,7.04,4.28,9293
15645,0.71,Very Good,D,SI1,61.5,58.0,5.73,5.79,3.54,2843
11572,0.31,Premium,F,VS2,62.3,60.0,4.35,4.32,2.7,802
15060,0.31,Premium,E,VS2,61.0,59.0,4.35,4.37,2.66,680
1691,1.5,Very Good,G,SI2,63.1,57.0,7.29,7.25,4.59,9282
6539,1.01,Ideal,F,SI1,63.0,57.0,6.39,6.34,4.01,4559
19183,1.09,Ideal,G,VS2,62.8,57.0,6.54,6.58,4.12,7292
19247,1.51,Good,J,VS2,64.0,58.0,7.27,7.24,4.64,7062
4933,0.34,Ideal,F,VS1,62.2,56.0,4.47,4.44,2.77,956
9938,1.5,Ideal,I,VS2,62.6,57.0,7.26,7.31,4.56,9586
13933,0.41,Ideal,H,SI1,62.4,53.0,4.78,4.81,2.99,722
8708,0.23,Premium,F,VVS2,61.3,59.0,3.99,3.94,2.43,571
3574,0.3,Good,I,SI1,64.1,57.0,4.25,4.3,2.74,391
15799,0.9,Very Good,I,VS2,58.4,62.0,6.29,6.35,3.69,3334
457,1.01,Premium,G,SI1,61.5,59.0,6.48,6.43,3.97,5006
6593,1.02,Premium,F,SI2,61.0,58.0,6.49,6.52,3.97,4043
20196,0.41,Ideal,H,IF,62.9,54.0,4.74,4.71,2.97,1243
24826,0.3,Very Good,G,VS1,63.1,59.0,4.27,4.25,2.69,776
1975,1.21,Premium,G,VS2,62.8,59.0,6.84,6.76,4.27,8402
25365,0.56,Very Good,G,VS1,60.5,59.0,5.26,5.31,3.2,1819
13663,1.1,Ideal,G,VS2,60.0,57.0,6.74,6.7,4.03,6653
10531,1.01,Ideal,H,SI2,61.7,56.0,6.41,6.46,3.97,4357
3833,0.7,Ideal,F,SI2,65.0,53.0,5.61,5.56,3.63,2394
2625,0.5,Good,E,SI1,63.3,59.0,4.99,5.03,3.17,1316
14352,1.1,Premium,J,VS2,61.2,57.0,6.66,6.61,4.06,3696
5760,1.6,Premium,H,SI2,62.4,60.0,7.48,7.43,4.65,9229
22973,1.3,Ideal,G,VS1,62.0,55.0,7.02,6.98,4.34,10221
14148,0.38,Ideal,G,SI1,,57.0,4.71,4.76,2.87,695
8783,0.9,Fair,H,VS2,65.5,57.0,6.05,6.01,3.95,3226
23397,1.51,Ideal,G,SI2,62.3,56.0,7.31,7.37,4.57,9391
12538,1.0,Premium,F,VS2,60.7,58.0,6.45,6.36,3.89,6899
5221,0.74,Good,E,SI1,62.8,61.0,5.74,5.76,3.61,2906
5745,0.71,Ideal,E,VS1,62.1,53.0,5.76,5.73,3.57,2963
7291,1.01,Very Good,E,SI1,62.8,57.0,6.37,6.41,4.01,5499
21758,0.26,Good,E,IF,59.6,61.0,4.13,4.16,2.47,597
9860,0.9,Ideal,F,SI1,61.7,55.0,6.19,6.16,3.81,4269
8766,0.9,Very Good,F,SI1,61.7,60.0,6.19,6.22,3.83,3854
26601,0.79,Premium,H,SI1,60.1,60.0,6.04,5.98,3.61,2498
15258,1.51,Very Good,F,SI1,62.1,55.0,7.29,7.37,4.55,11302
19306,0.48,Ideal,G,SI1,61.6,55.0,5.06,5.1,3.13,1145
9221,0.87,Fair,I,VS2,57.3,59.0,6.29,6.44,3.65,3166
9121,1.09,Very Good,G,VS1,59.7,63.0,6.74,6.65,4.0,6570
12883,0.38,Ideal,G,SI2,61.2,56.0,4.7,4.74,2.89,602
24119,1.21,Ideal,J,VS2,59.6,57.0,6.98,6.94,4.15,4968
12396,0.4,Premium,E,VVS2,60.8,59.0,4.73,4.77,2.89,988
5162,0.96,Premium,I,SI2,,62.0,6.48,6.38,3.79,2454
26287,0.54,Very Good,D,VS2,60.5,59.0,5.24,5.28,3.18,1885
9007,0.56,Ideal,D,VS2,60.9,56.0,5.31,5.36,3.25,1963
8552,0.87,Ideal,H,VS2,61.7,57.0,6.14,6.09,3.77,3118
19979,0.34,Ideal,H,VS2,62.2,56.0,4.48,4.53,2.8,537
12032,2.01,Premium,D,SI2,61.8,59.0,8.15,8.07,5.01,17235
25361,0.5,Ideal,E,VS2,60.0,57.0,5.12,5.15,3.08,1624
22187,1.6,Ideal,F,SI1,61.1,55.0,7.55,7.58,4.62,13140
3386,0.24,Very Good,F,VS1,63.0,59.0,3.93,3.97,2.49,419
2182,1.66,Good,G,VS2,63.2,56.0,7.49,7.61,4.77,15091
17907,1.0,Fair,H,SI2,66.1,59.0,6.18,6.13,4.07,3472
1056,0.32,Ideal,F,VS2,61.3,56.0,4.43,4.41,2.71,828
21949,0.4,Very Good,D,SI1,63.3,57.0,4.71,4.68,2.97,924
24108,0.41,Premium,J,VVS1,60.1,58.0,4.83,4.79,2.89,994
6092,0.34,Premium,G,IF,60.5,58.0,4.47,4.52,2.72,879
12027,0.92,Ideal,H,VS1,60.9,57.0,6.33,6.29,3.84,4328
1170,1.22,Premium,H,SI2,61.3,60.0,6.87,6.81,4.19,4509
21661,1.13,Ideal,I,VS2,62.3,56.0,6.73,6.63,4.16,5031
22536,1.61,Ideal,E,SI2,61.6,56.0,7.54,7.62,4.67,9961
13295,0.3,Ideal,J,SI1,62.3,57.0,4.27,4.3,2.67,367
15801,0.3,Premium,H,VVS1,60.7,58.0,4.38,4.35,2.65,796
7097,0.56,Ideal,G,VS2,60.6,57.0,5.36,5.33,3.24,1698
8771,0.91,Good,H,SI1,58.2,59.0,6.36,6.4,3.71,3855
24292,1.06,Very Good,H,SI1,62.2,58.0,6.45,6.53,4.04,4878
11887,1.33,Ideal,H,SI1,60.1,57.0,7.14,7.2,4.31,7742
2603,0.31,Very Good,G,VS2,61.0,56.0,4.35,4.37,2.66,544
17671,1.0,Very Good,I,SI1,63.3,54.0,6.39,6.34,4.03,3640
23343,0.3,Ideal,G,IF,,55.0,4.33,4.35,2.68,813
22096,0.31,Good,E,SI1,63.1,54.0,4.31,4.34,2.73,544
17560,0.2,Premium,E,VS2,59.7,62.0,3.84,3.8,2.28,367
17646,0.73,Ideal,E,VS2,62.2,59.0,5.74,5.77,3.58,3198
2870,0.8,Ideal,I,VS1,62.2,58.0,5.92,5.95,3.69,2906
26750,0.9,Good,H,I1,57.4,63.0,6.38,6.33,3.65,1939
12080,0.3,Ideal,D,VS1,61.9,54.1,4.28,4.33,2.67,817
4935,1.02,Premium,G,SI1,61.1,58.0,6.52,6.48,3.97,5255
17744,1.7,Good,H,VS2,62.5,59.0,7.48,7.58,4.71,12723
23622,0.31,Ideal,H,SI2,61.1,56.0,4.4,4.42,2.69,421
3123,0.9,Very Good,E,SI2,61.6,59.0,6.18,6.26,3.83,3924
1629,0.3,Very Good,F,VS1,61.5,56.0,4.31,4.34,2.66,654
12916,0.42,Ideal,E,VS2,62.4,55.0,4.79,4.83,3.0,958
15926,1.24,Ideal,G,SI1,62.7,56.0,6.89,6.85,4.31,4916
2089,1.01,Very Good,D,VVS1,62.8,57.0,6.36,6.41,4.01,13312
11549,0.51,Ideal,G,VVS2,,56.0,5.12,5.14,3.16,1827
1042,0.53,Premium,H,IF,,59.0,5.15,5.18,3.23,1957
25468,1.23,Very Good,H,SI1,60.3,58.0,6.93,6.96,4.19,6997
7321,1.6,Good,E,SI1,63.6,58.0,7.38,7.44,4.71,12467
12200,0.41,Premium,F,VVS1,58.9,58.0,4.87,4.84,2.86,1356
21079,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1096
18935,1.5,Premium,H,SI1,61.8,60.0,7.31,7.23,4.49,10567
11916,0.31,Premium,F,VVS1,59.4,58.0,4.41,4.45,2.63,766
7277,0.31,Premium,E,SI1,60.1,61.0,4.4,4.35,2.63,698
26520,0.44,Ideal,E,SI2,62.0,54.0,4.9,4.94,3.05,691
3116,1.22,Ideal,E,SI1,61.7,56.0,6.88,6.92,4.26,7085
8588,0.71,Very Good,I,VS2,63.4,56.0,5.65,5.61,3.57,1840
11281,0.57,Ideal,F,VS2,62.1,55.0,5.35,5.31,3.31,1760
6154,1.03,Very Good,D,SI1,61.8,57.0,6.49,6.53,4.02,5393
21919,0.73,Premium,E,SI1,62.2,59.0,5.77,5.68,3.56,2821
12535,2.01,Good,F,SI2,64.0,58.0,7.94,7.83,5.05,17313
12189,1.09,Premium,G,SI2,61.3,60.0,6.66,6.59,4.06,3601
20661,0.27,Very Good,F,VVS2,61.9,58.0,4.17,4.2,2.59,620
24661,0.32,Premium,J,VS2,61.9,58.0,4.38,4.35,2.7,504
16497,0.5,Very Good,D,VS2,62.9,61.0,4.96,5.03,3.14,1752
22998,0.72,Ideal,E,SI1,59.8,57.0,5.86,5.91,3.52,2265
12366,0.3,Ideal,F,VS2,62.7,57.0,4.27,4.31,2.69,605
10577,0.31,Premium,E,VS1,60.2,58.0,4.38,4.43,2.65,734
14059,0.75,Ideal,E,SI2,61.7,55.0,5.9,5.86,3.63,2609
507,1.5,Premium,D,I1,61.7,62.0,7.28,7.24,4.48,6300
24592,0.31,Premium,E,VS2,58.6,58.0,4.46,4.42,2.6,639
13049,0.32,Premium,G,VS2,60.7,58.0,4.38,4.42,2.67,561
17975,1.55,Premium,I,SI2,61.5,58.0,7.39,7.46,4.57,7256
18601,1.51,Premium,E,VS2,60.7,60.0,7.46,7.37,4.5,14844
23333,0.54,Very Good,I,VS2,62.3,56.0,5.17,5.22,3.24,1317
26544,1.5,Good,G,SI1,62.9,58.0,7.17,7.3,4.55,10271
1277,1.03,Premium,F,VS1,62.2,57.0,6.51,6.47,4.04,7365
17379,1.73,Premium,J,SI1,60.7,58.0,7.78,7.73,4.71,9271
8886,1.83,Very Good,I,VS1,61.9,57.0,7.85,7.91,4.88,13587
1766,1.31,Ideal,G,VVS1,61.1,57.0,7.06,7.01,4.3,11247
4619,1.21,Very Good,F,VVS2,61.0,58.0,6.89,6.92,4.21,11455
26920,1.02,Premium,H,VS2,62.5,60.0,6.38,6.43,4.0,5217
4980,0.9,Premium,D,SI2,63.0,58.0,6.16,6.12,3.87,3473
11932,0.32,Ideal,E,IF,61.9,56.0,4.4,4.42,2.73,1095
3528,1.31,Ideal,H,SI2,62.3,56.0,7.0,6.97,4.35,6225
19685,1.51,Very Good,F,SI2,63.2,60.0,7.2,7.27,4.57,8462
10652,0.31,Premium,G,VS1,62.1,58.0,4.31,4.36,2.69,625
652,0.41,Fair,G,VVS2,64.7,56.0,4.68,4.72,3.04,833
1999,0.7,Ideal,E,SI1,61.9,55.0,5.74,5.77,3.56,2537
2125,0.3,Premium,E,VS2,61.8,58.0,4.31,4.36,2.68,658
1832,1.1,Premium,I,SI2,62.9,59.0,6.6,6.53,4.13,3604
24149,0.3,Premium,H,VS1,62.1,59.0,4.28,4.25,2.65,630
19925,0.3,Very Good,G,VS1,62.1,60.0,4.24,4.3,2.65,605
22927,1.06,Ideal,I,VS2,61.4,57.0,6.57,6.52,4.02,4405
17009,2.0,Very Good,I,SI1,62.9,59.2,7.95,8.08,5.05,15081
13012,0.77,Ideal,D,SI1,62.6,57.0,5.92,5.81,3.67,2898
22291,0.31,Very Good,D,SI1,63.4,58.0,4.35,4.32,2.75,732
4086,1.01,Good,F,SI2,61.5,61.0,6.33,6.38,3.91,3895
14131,1.54,Premium,I,VS1,61.6,58.0,7.42,7.39,4.56,10349
8657,1.07,Ideal,H,VS2,62.0,57.0,6.55,6.58,4.07,5820
7811,1.5,Ideal,I,I1,61.8,57.0,7.39,7.31,4.54,5510
25687,1.09,Premium,H,SI1,61.6,57.0,6.63,6.59,4.07,5219
11305,0.53,Ideal,D,VS2,60.6,57.0,5.24,5.28,3.19,1857
6832,1.03,Ideal,G,VS1,60.8,57.0,6.55,6.57,3.99,7587
21989,0.71,Ideal,E,VVS1,61.9,55.0,5.73,5.77,3.56,4027
766,0.52,Ideal,D,SI1,62.2,57.0,5.13,5.16,3.2,1600
17576,0.56,Ideal,E,VS1,61.1,56.0,5.34,5.29,3.25,2117
6107,0.43,Good,I,VS2,58.0,57.0,4.96,5.01,2.89,696
22071,0.57,Ideal,F,VS2,61.6,56.0,5.37,5.34,3.3,1684
26769,1.06,Ideal,F,VS1,61.9,57.0,6.53,6.55,4.05,7345
14906,0.34,Very Good,H,VS1,63.1,57.0,4.44,4.4,2.79,765
15665,1.2,Ideal,H,VS2,62.8,57.0,6.75,6.79,4.25,7072
43,0.43,Premium,F,SI1,60.5,60.0,4.88,4.84,2.94,1016
25123,1.2,Premium,J,SI1,60.6,59.0,6.88,6.84,4.16,4838
5424,1.29,Premium,H,VS2,62.4,57.0,6.98,6.92,4.34,6987
6887,1.07,Very Good,F,SI2,59.4,60.0,6.68,6.75,3.99,4552
5208,0.3,Ideal,D,VS1,62.2,57.0,4.26,4.29,2.66,718
20497,0.73,Premium,J,SI1,58.2,59.0,5.99,5.91,3.46,1905
24467,0.67,Ideal,G,VS2,62.5,56.0,5.64,5.56,3.5,2010
18591,0.5,Ideal,G,VS2,62.5,57.0,5.04,5.07,3.16,1449
4075,0.52,Very Good,D,SI1,63.8,56.0,5.06,5.1,3.24,1452
25080,0.35,Ideal,E,VVS1,62.0,56.0,4.58,4.51,2.82,1116
13008,0.41,Ideal,I,VS2,61.4,54.0,4.81,4.83,2.96,625
3865,0.43,Ideal,H,SI1,62.4,56.0,4.81,4.83,3.01,716
15785,0.83,Premium,H,SI1,60.0,59.0,6.08,6.05,3.64,2825
3132,1.45,Ideal,J,VS2,61.9,59.0,7.16,7.21,4.45,7477
9380,0.5,Very Good,G,VVS2,60.9,61.0,5.11,5.13,3.12,1838
19149,1.01,Very Good,H,SI1,59.8,61.0,6.54,6.51,3.9,4680
13805,1.51,Premium,H,IF,60.2,60.0,7.44,7.41,4.47,13194
11861,0.41,Ideal,E,VVS2,62.0,55.0,4.73,4.79,2.95,918
21318,1.52,Ideal,E,SI2,61.0,56.0,7.45,7.41,4.53,8299
26763,0.52,Very Good,G,VS1,61.1,58.0,5.16,5.19,3.16,1689
5034,0.8,Ideal,F,VVS2,61.6,57.0,5.97,5.94,3.67,4140
26120,1.64,Very Good,J,SI1,62.6,59.0,7.45,7.51,4.68,7739
17815,2.06,Premium,I,SI2,61.1,57.0,8.3,8.24,5.05,12842
17805,0.71,Very Good,F,SI2,62.8,58.0,5.63,5.7,3.56,2147
26708,0.4,Very Good,J,VS1,63.4,58.0,4.64,4.61,2.93,810
16347,1.18,Ideal,J,VS1,61.7,56.0,6.79,6.82,4.2,5182
22000,0.3,Ideal,E,VS1,61.8,56.0,4.32,4.35,2.68,670
24886,1.56,Good,I,SI2,58.5,61.0,7.58,7.63,4.45,8048
638,1.01,Premium,F,SI1,62.2,59.0,6.41,6.36,3.97,5345
23222,0.33,Premium,E,SI1,60.4,59.0,4.47,4.43,2.69,743
6170,0.3,Premium,H,VS2,,60.0,4.26,4.31,2.65,473
4656,1.52,Good,J,SI1,63.6,60.0,7.25,7.21,4.6,7022
13877,0.26,Very Good,E,VS1,63.0,59.0,4.03,4.06,2.55,453
20198,0.9,Premium,G,SI1,62.0,61.0,6.13,6.07,3.78,3669
18587,0.77,Very Good,G,VS2,58.3,63.0,6.0,6.05,3.51,2896
20415,0.31,Ideal,E,VS1,61.8,55.0,4.36,4.38,2.7,692
14534,0.4,Very Good,F,SI1,59.6,61.0,4.79,4.84,2.87,927
2513,0.57,Premium,H,VVS1,61.6,58.0,5.39,5.35,3.31,2172
10258,2.0,Very Good,J,VS2,60.7,60.0,8.05,8.17,4.92,13542
21616,1.71,Premium,H,VS1,58.1,62.0,8.02,7.84,4.61,11161
19049,1.6,Premium,F,SI2,61.1,58.0,7.57,7.53,4.61,9229
16937,0.71,Good,G,VS1,58.1,59.0,5.85,5.92,3.42,2628
9469,1.0,Good,E,SI1,63.2,57.0,6.36,6.39,4.03,5299
4448,1.5,Ideal,G,VS1,61.0,57.0,7.32,7.4,4.49,12576
25634,1.38,Ideal,G,SI2,61.4,55.0,7.2,7.17,4.41,7094
24846,0.9,Ideal,H,VS2,62.7,57.0,6.13,6.15,3.85,4072
24836,0.3,Ideal,G,VVS1,62.3,54.0,4.31,4.33,2.69,789
23130,1.01,Premium,G,VS2,61.5,60.0,6.45,6.42,3.96,6108
2309,0.32,Premium,E,IF,61.6,58.0,4.38,4.39,2.7,1095
11352,1.52,Premium,D,SI1,59.5,61.0,7.5,7.43,4.44,12823
23655,0.31,Ideal,E,VS2,62.4,54.0,4.35,4.31,2.7,872
6533,1.61,Very Good,G,SI1,,56.0,7.44,7.54,4.69,12028
20141,0.3,Ideal,E,VVS2,60.2,57.0,4.4,4.37,2.64,1013
8032,1.06,Premium,F,VS2,61.8,60.0,6.58,6.53,4.05,6673
14930,1.0,Premium,D,SI2,61.6,58.0,6.45,6.37,3.95,4626
2554,0.75,Good,E,SI1,58.3,60.0,5.94,5.99,3.48,2923
4445,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2670
2559,0.7,Ideal,G,VS2,61.8,54.0,5.71,5.74,3.54,2593
20513,0.31,Very Good,I,SI1,62.8,60.0,4.29,4.31,2.7,418
9626,2.26,Ideal,H,SI2,62.2,56.0,8.38,8.35,5.2,17312
12586,1.34,Very Good,J,SI2,62.7,56.0,7.05,7.08,4.43,5335
21126,0.31,Premium,F,VS2,61.4,62.0,4.34,4.32,2.66,802
8578,1.2,Very Good,E,VVS1,61.3,60.0,6.77,6.84,4.17,13015
98,0.72,Very Good,I,SI1,63.2,57.0,5.71,5.75,3.62,2345
19717,0.34,Very Good,E,VVS2,62.7,59.0,4.41,4.43,2.77,775
17327,0.3,Ideal,F,VS2,62.3,57.0,4.33,4.3,2.69,776
16279,0.9,Premium,F,SI2,58.0,57.0,6.41,6.34,3.7,3704
11792,0.52,Ideal,G,VVS2,60.9,56.0,5.22,5.26,3.19,1858
22366,0.41,Very Good,E,VS1,62.8,58.0,4.7,4.72,2.96,1079
22377,1.52,Fair,H,I1,69.7,55.0,6.92,6.89,4.81,4648
23506,0.92,Premium,F,SI1,62.2,59.0,6.21,6.14,3.84,4194
2507,1.0,Good,H,SI1,61.5,64.0,6.38,6.41,3.93,4568
6079,0.3,Good,F,VS2,,55.0,4.25,4.28,2.71,484
20712,0.5,Ideal,I,SI1,61.5,54.0,5.13,5.15,3.16,1008
14540,0.31,Ideal,H,VS1,62.2,57.0,4.37,4.34,2.71,698
2602,1.11,Ideal,D,VVS2,62.3,56.0,6.59,6.64,4.12,12390
9935,0.76,Very Good,F,SI2,63.3,55.0,5.79,5.83,3.68,2347
6526,0.5,Good,H,VVS2,66.1,58.0,4.87,4.9,3.23,1214
18848,1.01,Premium,D,SI2,61.0,62.0,6.43,6.39,3.91,4939
21094,1.01,Good,F,VVS2,63.6,60.0,6.31,6.36,4.03,6932
8436,0.31,Ideal,G,SI1,61.8,55.0,4.38,4.42,2.72,493
18682,0.63,Very Good,G,VS1,61.5,56.0,5.53,5.49,3.39,1960
1595,1.2,Very Good,F,SI2,63.2,58.0,6.78,6.74,4.27,4502
25119,0.34,Premium,F,VS2,61.2,59.0,4.52,4.47,2.75,880
253,0.36,Very Good,F,SI1,60.7,54.0,4.64,4.67,2.83,641
13843,0.5,Good,E,SI1,63.2,57.0,5.03,5.06,3.19,1316
23955,0.44,Ideal,E,VS1,61.5,56.0,4.92,4.9,3.02,1155
24178,0.3,Ideal,E,VVS1,61.6,56.0,4.31,4.32,2.66,838
18998,0.33,Very Good,G,VVS2,60.9,57.0,4.43,4.5,2.72,752
25825,0.5,Premium,I,SI1,61.7,58.0,5.09,5.15,3.16,965
17987,0.3,Ideal,D,SI1,61.4,56.0,4.32,4.35,2.66,552
13369,1.02,Premium,D,SI1,60.6,59.0,6.53,6.47,3.94,5998
2181,1.04,Good,F,SI1,63.4,59.0,6.4,6.44,4.07,5045
22458,0.72,Good,F,SI1,64.0,61.0,5.67,5.62,3.61,2563
23260,2.11,Ideal,I,VS2,62.2,55.0,8.2,8.26,5.12,17712
16952,0.31,Very Good,G,VVS1,59.9,62.0,4.35,4.37,2.61,816
13979,0.56,Very Good,H,SI2,59.5,57.0,5.4,5.43,3.22,1144
18020,0.52,Ideal,H,VS1,62.0,55.4,5.16,5.21,3.21,1575
21676,0.38,Ideal,E,VS1,61.6,56.0,4.66,4.62,2.86,1069
25688,0.43,Ideal,E,SI1,62.6,56.0,4.79,4.82,3.01,760
22929,1.02,Good,F,SI2,64.1,60.0,6.25,6.29,4.02,4179
1666,1.01,Good,E,VS2,63.7,56.0,6.29,6.27,4.0,6335
16129,0.7,Good,E,VS1,57.2,59.0,5.94,5.88,3.38,2826
18751,0.31,Ideal,D,SI1,62.4,53.0,4.35,4.33,2.71,732
6129,0.76,Premium,J,VS1,61.1,58.0,5.85,5.91,3.59,2148
237,1.0,Ideal,F,VS2,62.6,57.0,6.4,6.35,3.99,6804
15003,0.56,Very Good,F,SI1,63.2,56.0,5.29,5.24,3.33,1441
23771,0.71,Very Good,E,SI1,63.1,59.0,5.75,5.62,3.59,2441
1812,0.73,Ideal,F,SI2,61.7,57.0,5.78,5.82,3.58,2087
5049,0.4,Very Good,D,VS2,62.3,60.0,4.66,4.68,2.91,850
5246,0.34,Premium,F,SI2,61.7,61.0,4.48,4.44,2.75,574
957,0.33,Ideal,F,VS2,61.9,57.0,4.4,4.42,2.73,666
320,0.73,Ideal,E,VS2,62.4,57.0,5.75,5.79,3.6,3201
9137,0.79,Very Good,F,VS1,58.6,57.0,6.08,6.14,3.58,3398
9820,0.47,Premium,G,VS2,61.0,59.0,5.03,5.0,3.06,1116
5396,0.57,Very Good,E,VS1,59.1,57.0,5.43,5.5,3.23,2008
